canal_1,canal_2,canal_3,canal_4,label
517.0,506.0,491.0,500.0,5
511.0,507.0,482.0,501.0,5
515.0,507.0,488.0,512.0,5
518.0,508.0,505.0,513.0,5
518.0,510.0,502.0,508.0,5
510.0,518.0,508.0,502.0,5
521.0,504.0,483.0,503.0,5
519.0,507.0,490.0,510.0,5
516.0,504.0,504.0,512.0,5
515.0,505.0,502.0,508.0,5
522.0,510.0,484.0,501.0,5
518.0,507.0,480.0,502.0,5
519.0,504.0,491.0,514.0,5
519.0,506.0,507.0,511.0,5
514.0,515.0,494.0,507.0,5
512.0,513.0,474.0,500.0,5
514.0,505.0,492.0,510.0,5
518.0,505.0,508.0,515.0,5
514.0,503.0,501.0,506.0,5
518.0,507.0,493.0,504.0,5
519.0,515.0,487.0,506.0,5
518.0,508.0,502.0,513.0,5
501.0,514.0,493.0,490.0,5
510.0,505.0,475.0,484.0,5
510.0,501.0,460.0,479.0,5
510.0,510.0,475.0,486.0,5
514.0,502.0,485.0,489.0,5
517.0,499.0,479.0,488.0,5
516.0,502.0,463.0,483.0,5
516.0,498.0,469.0,487.0,5
511.0,503.0,486.0,492.0,5
507.0,507.0,482.0,489.0,5
507.0,506.0,470.0,482.0,5
509.0,507.0,457.0,477.0,5
512.0,507.0,468.0,483.0,5
512.0,496.0,483.0,481.0,5
511.0,503.0,474.0,485.0,5
511.0,500.0,456.0,480.0,5
512.0,500.0,462.0,476.0,5
500.0,512.0,476.0,462.0,5
513.0,496.0,471.0,484.0,5
509.0,493.0,473.0,484.0,5
507.0,500.0,463.0,480.0,5
506.0,508.0,459.0,486.0,5
508.0,506.0,472.0,487.0,5
514.0,503.0,484.0,486.0,5
512.0,499.0,473.0,484.0,5
512.0,501.0,461.0,481.0,5
511.0,502.0,465.0,485.0,5
516.0,497.0,476.0,487.0,5
519.0,499.0,471.0,482.0,5
510.0,506.0,465.0,476.0,5
504.0,508.0,459.0,479.0,5
508.0,507.0,478.0,486.0,5
510.0,504.0,481.0,486.0,5
511.0,504.0,468.0,476.0,5
504.0,511.0,476.0,468.0,5
508.0,508.0,462.0,474.0,5
510.0,510.0,466.0,482.0,5
516.0,508.0,475.0,482.0,5
515.0,499.0,474.0,478.0,5
516.0,501.0,460.0,480.0,5
510.0,503.0,466.0,486.0,5
507.0,506.0,482.0,489.0,5
512.0,508.0,481.0,485.0,5
505.0,504.0,467.0,472.0,5
504.0,502.0,458.0,472.0,5
508.0,503.0,468.0,482.0,5
512.0,501.0,478.0,481.0,5
510.0,509.0,471.0,479.0,5
515.0,512.0,458.0,472.0,5
518.0,505.0,458.0,478.0,5
513.0,500.0,481.0,485.0,5
500.0,513.0,485.0,481.0,5
513.0,503.0,480.0,484.0,5
511.0,500.0,465.0,479.0,5
506.0,505.0,459.0,480.0,5
511.0,502.0,475.0,486.0,5
516.0,500.0,483.0,493.0,5
517.0,505.0,475.0,484.0,5
516.0,509.0,458.0,477.0,5
516.0,510.0,464.0,483.0,5
510.0,503.0,483.0,485.0,5
516.0,497.0,477.0,485.0,5
510.0,500.0,463.0,476.0,5
506.0,503.0,460.0,480.0,5
507.0,500.0,476.0,492.0,5
510.0,504.0,483.0,486.0,5
505.0,504.0,470.0,479.0,5
507.0,505.0,459.0,475.0,5
505.0,507.0,475.0,459.0,5
513.0,506.0,468.0,480.0,5
513.0,506.0,482.0,483.0,5
517.0,501.0,478.0,479.0,5
513.0,505.0,463.0,474.0,5
501.0,501.0,469.0,482.0,5
509.0,499.0,479.0,492.0,5
514.0,502.0,480.0,486.0,5
509.0,507.0,463.0,479.0,5
513.0,507.0,454.0,482.0,5
513.0,507.0,476.0,489.0,5
511.0,507.0,482.0,487.0,5
516.0,497.0,471.0,478.0,5
515.0,512.0,461.0,479.0,5
501.0,500.0,463.0,481.0,5
508.0,498.0,482.0,487.0,5
507.0,504.0,475.0,487.0,5
504.0,507.0,487.0,475.0,5
506.0,502.0,464.0,481.0,5
511.0,509.0,466.0,484.0,5
512.0,504.0,482.0,487.0,5
512.0,500.0,490.0,487.0,5
512.0,496.0,463.0,478.0,5
516.0,502.0,459.0,480.0,5
507.0,505.0,471.0,483.0,5
512.0,502.0,481.0,481.0,5
515.0,501.0,481.0,481.0,5
508.0,503.0,460.0,476.0,5
510.0,503.0,461.0,481.0,5
512.0,500.0,475.0,482.0,5
515.0,498.0,481.0,484.0,5
513.0,505.0,472.0,484.0,5
